,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109
150,(-0.0012457296252250671-0.00020745396614074707j),(-0.0012280717492103577-0.00023123621940612793j),(-0.0012301132082939148-0.00023487210273742676j),(-0.0012333616614341736-0.00022957473993301392j),(-0.0012436285614967346-0.0002375468611717224j),(-0.0012386590242385864-0.0002376064658164978j),(-0.001245349645614624-0.00024315714836120605j),(-0.0012380853295326233-0.00023059546947479248j),(-0.0012368708848953247-0.00023021548986434937j),(-0.0012262240052223206-0.00023856759071350098j),(-0.0012329816818237305-0.00023703277111053467j),(-0.001228518784046173-0.00023467838764190674j),(-0.0012465640902519226-0.00022568553686141968j),(-0.0012385919690132141-0.00023856759071350098j),(-0.0012389123439788818-0.0002406090497970581j),(-0.0012345090508460999-0.00023786723613739014j),(-0.0012346357107162476-0.00023946166038513184j),(-0.0012503862380981445-0.0002459585666656494j),(-0.00123489648103714-0.00024360418319702148j),(-0.0012443289160728455-0.0002390146255493164j),(-0.0012494325637817383-0.00024844706058502197j),(-0.0012459903955459595-0.00023971498012542725j),(-0.001246623694896698-0.0002466663718223572j),(-0.0012324079871177673-0.00024022161960601807j),(-0.0012408196926116943-0.0002441778779029846j),(-0.0012504532933235168-0.00022664666175842285j),(-0.001234002411365509-0.00022396445274353027j),(-0.001255422830581665-0.00021689385175704956j),(-0.0012718737125396729-0.00020171701908111572j),(-0.001270592212677002-0.0001961737871170044j),(-0.001272633671760559-0.00018628686666488647j)
151,(-0.001262180507183075-0.0002129971981048584j),(-0.001262374222278595-0.00020840764045715332j),(-0.0012833476066589355-0.00023340433835983276j),(-0.0012705326080322266-0.00023308396339416504j),(-0.0012538954615592957-0.00022224336862564087j),(-0.0012714862823486328-0.00023799389600753784j),(-0.0012607797980308533-0.00024443119764328003j),(-0.0012614801526069641-0.00021383166313171387j),(-0.0012416541576385498-0.00022830069065093994j),(-0.0012659430503845215-0.00020713359117507935j),(-0.0012502595782279968-0.000234164297580719j),(-0.0012471377849578857-0.00023799389600753784j),(-0.0012570768594741821-0.00024946779012680054j),(-0.0012582316994667053-0.00023818761110305786j),(-0.001248471438884735-0.0002455189824104309j),(-0.0012619271874427795-0.0002525895833969116j),(-0.001253955066204071-0.0002488270401954651j),(-0.0012595057487487793-0.0002390742301940918j),(-0.0012517273426055908-0.00025469809770584106j),(-0.0012507662177085876-0.0002492740750312805j),(-0.0012429878115653992-0.00026234984397888184j),(-0.0012458562850952148-0.00023665279150009155j),(-0.0012376382946968079-0.00023480504751205444j),(-0.0012427344918251038-0.00023206323385238647j),(-0.0012582913041114807-0.00024647265672683716j),(-0.001244969666004181-0.00024449825286865234j),(-0.0012470036745071411-0.00024118274450302124j),(-0.0012540817260742188-0.00023792684078216553j),(-0.0012565702199935913-0.0002476796507835388j),(-0.0012532547116279602-0.00024200975894927979j),(-0.0012602061033248901-0.00021682679653167725j)
152,(-0.00126657634973526-0.0002064332365989685j),(-0.0012829601764678955-0.00022014230489730835j),(-0.0012755021452903748-0.00022166967391967773j),(-0.001268044114112854-0.0002359524369239807j),(-0.0012769699096679688-0.00023958832025527954j),(-0.0012781843543052673-0.0002341046929359436j),(-0.0012777969241142273-0.00022161006927490234j),(-0.0012652426958084106-0.00022351741790771484j),(-0.0012628808617591858-0.00023518502712249756j),(-0.001282133162021637-0.00020363181829452515j),(-0.001268044114112854-0.00024003535509109497j),(-0.0012818798422813416-0.00019578635692596436j),(-0.0012674108147621155-0.00018054991960525513j),(-0.001260906457901001-0.00023799389600753784j),(-0.0012677237391471863-0.00022007524967193604j),(-0.001267850399017334-0.0002437978982925415j),(-0.0012669637799263-0.00023186951875686646j),(-0.001259632408618927-0.00023161619901657104j),(-0.0012614205479621887-0.0002388209104537964j),(-0.0012753158807754517-0.00025673210620880127j),(-0.001252874732017517-0.00021861493587493896j),(-0.001262560486793518-0.00023487210273742676j),(-0.0012622475624084473-0.00023601949214935303j),(-0.0012642815709114075-0.00023168325424194336j),(-0.0012765228748321533-0.00022218376398086548j),(-0.0012587383389472961-0.00024156272411346436j),(-0.001273907721042633-0.0002375468611717224j),(-0.001262947916984558-0.0002354457974433899j),(-0.0012657493352890015-0.0002176538109779358j),(-0.001269511878490448-0.00023008882999420166j),(-0.0012632012367248535-0.00023620575666427612j)
153,(-0.001282326877117157-0.00017730146646499634j),(-0.0012901052832603455-0.000202864408493042j),(-0.0012983307242393494-0.00021727383136749268j),(-0.0012919530272483826-0.00021325796842575073j),(-0.001302279531955719-0.00022607296705245972j),(-0.001292593777179718-0.00020720064640045166j),(-0.0012827068567276-0.00021338462829589844j),(-0.001302093267440796-0.00021835416555404663j),(-0.0012944415211677551-0.00022957473993301392j),(-0.0012915059924125671-0.00023116916418075562j),(-0.0012894049286842346-0.00021102279424667358j),(-0.0012888908386230469-0.00023652613162994385j),(-0.0012714862823486328-0.00022307783365249634j),(-0.0012963488698005676-0.00020668655633926392j),(-0.001285836100578308-0.00023180991411209106j),(-0.0012814328074455261-0.00022900104522705078j),(-0.0012813061475753784-0.00023218989372253418j),(-0.0012839213013648987-0.00024181604385375977j),(-0.001286149024963379-0.0002633631229400635j),(-0.0012860894203186035-0.0002458319067955017j),(-0.0012709125876426697-0.00023040920495986938j),(-0.0012745484709739685-0.00022421777248382568j),(-0.0012847483158111572-0.00022467225790023804j),(-0.0012765899300575256-0.00023480504751205444j),(-0.001279778778553009-0.00022964179515838623j),(-0.0012786313891410828-0.00024328380823135376j),(-0.0012725740671157837-0.0002342313528060913j),(-0.0012618005275726318-0.00022715330123901367j),(-0.0012677907943725586-0.00023946166038513184j),(-0.0012789443135261536-0.00024443119764328003j),(-0.0012694448232650757-0.0002466663718223572j)
154,(-0.0013050884008407593-0.0001964271068572998j),(-0.0012908056378364563-0.00019578635692596436j),(-0.0012860223650932312-0.00019560009241104126j),(-0.0012899786233901978-0.0001863539218902588j),(-0.0012825801968574524-0.00020216405391693115j),(-0.0012832209467887878-0.00020611286163330078j),(-0.0012860223650932312-0.00020171701908111572j),(-0.001283407211303711-0.00020650029182434082j),(-0.0012870430946350098-0.00022383779287338257j),(-0.0012733414769172668-0.00021752715110778809j),(-0.0013152211904525757-0.00021153688430786133j),(-0.001309610903263092-0.00018616020679473877j),(-0.0012932941317558289-0.00017780810594558716j),(-0.0012885108590126038-0.00020752102136611938j),(-0.0012579113245010376-0.00021198391914367676j),(-0.001290932297706604-0.00023837387561798096j),(-0.0012880638241767883-0.00022855401039123535j),(-0.0012717470526695251-0.0002163127064704895j),(-0.0012888908386230469-0.00022116303443908691j),(-0.0012729540467262268-0.00021542608737945557j),(-0.0012839213013648987-0.0002191886305809021j),(-0.0012748688459396362-0.00022652000188827515j),(-0.0012835413217544556-0.00021198391914367676j),(-0.0012897253036499023-0.0002046525478363037j),(-0.0012804791331291199-0.00021714717149734497j),(-0.0012835338711738586-0.00021994858980178833j),(-0.0012915059924125671-0.00023761391639709473j),(-0.0012809261679649353-0.00022351741790771484j),(-0.001294054090976715-0.00023365765810012817j),(-0.0012774839997291565-0.00021535903215408325j),(-0.0012794584035873413-0.00022301077842712402j)
155,(-0.0013036206364631653-0.00018469244241714478j),(-0.0013194307684898376-0.00019463896751403809j),(-0.0013060420751571655-0.0001884549856185913j),(-0.0013117194175720215-0.00019565969705581665j),(-0.0013138800859451294-0.00018463283777236938j),(-0.001306489109992981-0.00018520653247833252j),(-0.0013210251927375793-0.0002076476812362671j),(-0.0013034939765930176-0.00018641352653503418j),(-0.0013162419199943542-0.00020515918731689453j),(-0.0012915730476379395-0.00019738078117370605j),(-0.0012956485152244568-0.00018698722124099731j),(-0.0012943148612976074-0.0001965537667274475j),(-0.0012945011258125305-0.00020752102136611938j),(-0.0012963488698005676-0.00023072212934494019j),(-0.0012969300150871277-0.00020904839038848877j),(-0.001288004219532013-0.00021211057901382446j),(-0.0012799650430679321-0.00021657347679138184j),(-0.0012899115681648254-0.00022855401039123535j),(-0.0012895315885543823-0.00021644681692123413j),(-0.0012894049286842346-0.00022727996110916138j),(-0.0013008788228034973-0.00023365765810012817j),(-0.001293867826461792-0.00021338462829589844j),(-0.0012876838445663452-0.00021816790103912354j),(-0.0012753158807754517-0.0002157464623451233j),(-0.0012887641787528992-0.0002161860466003418j),(-0.0012877434492111206-0.00023346394300460815j),(-0.0012891441583633423-0.00023161619901657104j),(-0.0012958422303199768-0.0002306625247001648j),(-0.0013016462326049805-0.00023340433835983276j),(-0.0012735947966575623-0.00021982192993164062j),(-0.0012803524732589722-0.00022976845502853394j)
156,(-0.0013219192624092102-0.000180169939994812j),(-0.001310504972934723-0.0001734718680381775j),(-0.0013311579823493958-0.00019948184490203857j),(-0.001313626766204834-0.00018309801816940308j),(-0.0013061091303825378-0.0001848265528678894j),(-0.001323506236076355-0.00018737465143203735j),(-0.001307956874370575-0.00018628686666488647j),(-0.0012970566749572754-0.0001930445432662964j),(-0.001315288245677948-0.00018221139907836914j),(-0.0012987777590751648-0.00020031630992889404j),(-0.001310884952545166-0.0001818239688873291j),(-0.0013235732913017273-0.00019999593496322632j),(-0.0013300776481628418-0.00021892786026000977j),(-0.0013222992420196533-0.00020420551300048828j),(-0.0013159886002540588-0.00022492557764053345j),(-0.0013225525617599487-0.00023601949214935303j),(-0.0013115257024765015-0.0002261325716972351j),(-0.0013003721833229065-0.00020879507064819336j),(-0.001300625503063202-0.00021319091320037842j),(-0.001311078667640686-0.00023933500051498413j),(-0.0013059154152870178-0.00022702664136886597j),(-0.0012986436486244202-0.0002212226390838623j),(-0.0013092905282974243-0.000212743878364563j),(-0.0013089776039123535-0.00022537261247634888j),(-0.0012958422303199768-0.00022498518228530884j),(-0.0013047680258750916-0.00021727383136749268j),(-0.0013045743107795715-0.000203058123588562j),(-0.0013087838888168335-0.00022326409816741943j),(-0.0012945681810379028-0.00021720677614212036j),(-0.0012974366545677185-0.00021994858980178833j),(-0.0013017728924751282-0.00022479891777038574j)
157,(-0.0013488829135894775-0.000181637704372406j),(-0.001330845057964325-0.00016314536333084106j),(-0.0013330727815628052-0.00018227100372314453j),(-0.0013244673609733582-0.00017965584993362427j),(-0.0013346672058105469-0.00018061697483062744j),(-0.0013309717178344727-0.00017175078392028809j),(-0.0013244673609733582-0.00017583370208740234j),(-0.0013319924473762512-0.00018137693405151367j),(-0.0013433992862701416-0.000201396644115448j),(-0.0013346001505851746-0.00018252432346343994j),(-0.001341298222541809-0.0002097487449645996j),(-0.0013101845979690552-0.0001930445432662964j),(-0.0013423189520835876-0.00020490586757659912j),(-0.0013205111026763916-0.0002032443881034851j),(-0.0013197511434555054-0.0001998692750930786j),(-0.0013096779584884644-0.00020350515842437744j),(-0.0013215988874435425-0.00021682679653167725j),(-0.0013120323419570923-0.00021880120038986206j),(-0.0013181567192077637-0.0001996755599975586j),(-0.0012891516089439392-0.00021217018365859985j),(-0.001329950988292694-0.0002013370394706726j),(-0.0013147145509719849-0.0001734122633934021j),(-0.001323699951171875-0.00018960237503051758j),(-0.0013340935111045837-0.00020222365856170654j),(-0.0013208985328674316-0.00021185725927352905j),(-0.0013280361890792847-0.00023148953914642334j),(-0.0013122260570526123-0.00022824108600616455j),(-0.0013129934668540955-0.00021727383136749268j),(-0.0013099312782287598-0.0002161264419555664j),(-0.0013003647327423096-0.00021383166313171387j),(-0.0012909993529319763-0.00020892173051834106j)
158,(-0.0013397634029388428-0.00017436593770980835j),(-0.0013415515422821045-0.0001683756709098816j),(-0.00134219229221344-0.0001716911792755127j),(-0.001330457627773285-0.0001747533679008484j),(-0.0013435259461402893-0.00018947571516036987j),(-0.001334860920906067-0.000181637704372406j),(-0.001334860920906067-0.0001669749617576599j),(-0.0013488233089447021-0.00018227100372314453j),(-0.0013332664966583252-0.0001768544316291809j),(-0.0013305246829986572-0.00016786158084869385j),(-0.001342378556728363-0.00017002969980239868j),(-0.0013329461216926575-0.00016735494136810303j),(-0.0013571083545684814-0.00019266456365585327j),(-0.0013441070914268494-0.00021044909954071045j),(-0.0013331398367881775-0.0002028048038482666j),(-0.0013274028897285461-0.00021032243967056274j),(-0.0013291239738464355-0.00022186338901519775j),(-0.0013210251927375793-0.0002195015549659729j),(-0.0013091638684272766-0.00019859522581100464j),(-0.0013226866722106934-0.00020872801542282104j),(-0.0013492032885551453-0.0001519918441772461j),(-0.0013722777366638184-0.00010985136032104492j),(-0.001395680010318756-0.00012177228927612305j),(-0.001383759081363678-0.00012145191431045532j),(-0.0013500303030014038-0.00014638155698776245j),(-0.0013197511434555054-0.00021026283502578735j),(-0.0013203248381614685-0.00021051615476608276j),(-0.0013358816504478455-0.00022607296705245972j),(-0.0013376623392105103-0.0002405419945716858j),(-0.0013217926025390625-0.00021752715110778809j),(-0.0013183504343032837-0.00023059546947479248j)
159,(-0.0013587027788162231-0.00016002357006072998j),(-0.0013670548796653748-0.00016117095947265625j),(-0.0013613179326057434-0.00015823543071746826j),(-0.0013779550790786743-0.00017131119966506958j),(-0.0013689026236534119-0.0001863539218902588j),(-0.0013774484395980835-0.0001751333475112915j),(-0.0013689026236534119-0.00016550719738006592j),(-0.001366354525089264-0.00016276538372039795j),(-0.0013730451464653015-0.00018284469842910767j),(-0.0013605505228042603-0.0001815110445022583j),(-0.0013613179326057434-0.0001831650733947754j),(-0.001346394419670105-0.0001748800277709961j),(-0.0013468414545059204-0.00018233805894851685j),(-0.0013623982667922974-0.00020573288202285767j),(-0.0013525187969207764-0.000203058123588562j),(-0.0013448074460029602-0.00020203739404678345j),(-0.0013576149940490723-0.00019878149032592773j),(-0.0013369619846343994-0.0001948326826095581j),(-0.0013418719172477722-0.00021159648895263672j),(-0.0013456344604492188-0.00020720064640045166j),(-0.001363612711429596-0.0001734122633934021j),(-0.0014102160930633545-0.00010526180267333984j),(-0.001399695873260498-9.576231241226196e-05j),(-0.0013888552784919739-0.00010895729064941406j),(-0.0013882219791412354-0.00014631450176239014j),(-0.001331031322479248-0.0002000555396080017j),(-0.0013265088200569153-0.00021408498287200928j),(-0.0013317316770553589-0.00021988898515701294j),(-0.0013305246829986572-0.00021555274724960327j),(-0.0013244673609733582-0.00022320449352264404j),(-0.0013263821601867676-0.00023021548986434937j)
