,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
100,(-0.0017914995551109314-9.268522262573242e-06j),(-0.0017971843481063843-1.3045966625213623e-05j),(-0.0017820373177528381+3.7029385566711426e-06j),(-0.0018053650856018066-1.5340745449066162e-05j),(-0.0017987191677093506-1.5601515769958496e-05j),(-0.0017838254570960999-2.428889274597168e-06j),(-0.00180063396692276-2.175569534301758e-06j),(-0.001797698438167572-1.214444637298584e-05j),(-0.0018077939748764038-1.5407800674438477e-05j),(-0.0018024221062660217+2.041459083557129e-06j),(-0.0018010213971138-1.341104507446289e-07j),(-0.0017964839935302734-3.203749656677246e-06j),(-0.0017909184098243713-1.1548399925231934e-06j),(-0.001790471374988556-5.498528480529785e-06j),(-0.001805044710636139-2.7805566787719727e-05j),(-0.0018051713705062866-2.0518898963928223e-05j),(-0.0018015280365943909-9.611248970031738e-07j),(-0.0017967373132705688-7.078051567077637e-07j),(-0.0017997398972511292-5.245208740234375e-06j),(-0.001803383231163025-3.5837292671203613e-06j),(-0.0017914995551109314-4.92483377456665e-06j)
101,(-0.0017950758337974548+3.769993782043457e-06j),(-0.0017861276865005493+1.3671815395355225e-05j),(-0.001791238784790039+6.332993507385254e-07j),(-0.0017858073115348816-1.0281801223754883e-06j),(-0.0017917528748512268+1.4007091522216797e-06j),(-0.001800253987312317-1.5601515769958496e-05j),(-0.0017996802926063538-1.1123716831207275e-05j),(-0.001797311007976532-1.4960765838623047e-05j),(-0.001802489161491394-1.3679265975952148e-05j),(-0.0018105432391166687-1.7583370208740234e-05j),(-0.001798778772354126-1.7285346984863281e-06j),(-0.0018245428800582886-2.473592758178711e-05j),(-0.0018042176961898804-1.074373722076416e-05j),(-0.0017983987927436829-1.1548399925231934e-06j),(-0.001806706190109253-8.441507816314697e-06j),(-0.001796223223209381-2.2426247596740723e-06j),(-0.001795843243598938-4.991888999938965e-06j),(-0.001788809895515442+3.829598426818848e-06j),(-0.0018122047185897827-1.553446054458618e-05j),(-0.0018143132328987122-2.0012259483337402e-05j),(-0.0018045976758003235-9.611248970031738e-07j)
102,(-0.0017984658479690552+0j),(-0.0017979517579078674-2.8833746910095215e-06j),(-0.001810602843761444-2.2821128368377686e-05j),(-0.0018033236265182495-1.1123716831207275e-05j),(-0.001791052520275116+2.808868885040283e-06j),(-0.0017854869365692139+1.4439225196838379e-05j),(-0.0017909854650497437+9.521842002868652e-06j),(-0.0018049180507659912-2.175569534301758e-06j),(-0.0017893239855766296+8.054077625274658e-06j),(-0.001803383231163025+1.2740492820739746e-06j),(-0.0017881691455841064+1.1824071407318115e-05j),(-0.001791052520275116+4.537403583526611e-06j),(-0.0018053054809570312-3.777444362640381e-06j),(-0.0017982050776481628-5.4389238357543945e-06j),(-0.0017976313829421997+6.1318278312683105e-06j),(-0.0017902851104736328+1.2740492820739746e-06j),(-0.0017891302704811096+4.597008228302002e-06j),(-0.0018127188086509705-1.2531876564025879e-05j),(-0.00179252028465271+3.7029385566711426e-06j),(-0.0017939284443855286-2.0489096641540527e-06j),(-0.0017953962087631226-3.203749656677246e-07j)
103,(-0.0018007010221481323+4.9173831939697266e-06j),(-0.0018010213971138+3.129243850708008e-06j),(-0.0017920732498168945-4.798173904418945e-06j),(-0.0018125250935554504-8.314847946166992e-06j),(-0.0018077939748764038+3.896653652191162e-06j),(-0.0017925798892974854+1.0922551155090332e-05j),(-0.0017949491739273071-4.991888999938965e-06j),(-0.001806899905204773-4.2244791984558105e-06j),(-0.0017907917499542236+6.57886266708374e-06j),(-0.0017999336123466492+1.0862946510314941e-05j),(-0.0018030032515525818+2.428889274597168e-06j),(-0.001812271773815155+0j),(-0.0017863810062408447+1.4007091522216797e-06j),(-0.0017902776598930359+1.914799213409424e-06j),(-0.001803956925868988-1.3299286365509033e-05j),(-0.0018148273229599-5.37186861038208e-06j),(-0.0018119513988494873-1.125037670135498e-05j),(-0.001812271773815155-1.1123716831207275e-05j),(-0.0017955228686332703-1.7955899238586426e-06j),(-0.0017986521124839783-5.498528480529785e-06j),(-0.0017961636185646057-3.9637088775634766e-06j)
104,(-0.0017987191677093506-4.157423973083496e-06j),(-0.0017982050776481628+7.4729323387146e-06j),(-0.0017904117703437805+9.007751941680908e-06j),(-0.0017957761883735657+7.2196125984191895e-06j),(-0.001789197325706482+2.05114483833313e-05j),(-0.0017926469445228577+1.0736286640167236e-05j),(-0.001790471374988556+1.1056661605834961e-05j),(-0.0017857402563095093+1.5206634998321533e-05j),(-0.0018025562167167664+7.4729323387146e-06j),(-0.0017986521124839783-2.6226043701171875e-06j),(-0.0018005743622779846+2.3618340492248535e-06j),(-0.0018090754747390747-5.498528480529785e-06j),(-0.0017952024936676025+6.966292858123779e-06j),(-0.0018130987882614136-1.0930001735687256e-05j),(-0.0017947554588317871-2.115964889526367e-06j),(-0.0017975643277168274+4.723668098449707e-06j),(-0.0018106698989868164-7.994472980499268e-06j),(-0.0018034502863883972-9.335577487945557e-06j),(-0.0017894506454467773+3.129243850708008e-07j),(-0.0018251165747642517-2.1226704120635986e-05j),(-0.0018154680728912354-2.0965933799743652e-05j)
105,(-0.0017969906330108643+8.814036846160889e-06j),(-0.001795843243598938+7.092952728271484e-06j),(-0.0018008947372436523+7.02589750289917e-06j),(-0.0018068328499794006-2.60770320892334e-07j),(-0.0018110573291778564-6.780028343200684e-06j),(-0.0018000006675720215-9.015202522277832e-07j),(-0.0018149539828300476-1.776963472366333e-05j),(-0.0018063858151435852+1.914799213409424e-06j),(-0.0018063262104988098-2.302229404449463e-06j),(-0.0018211528658866882-1.9371509552001953e-05j),(-0.0018017888069152832-3.5837292671203613e-06j),(-0.0017952024936676025+3.0621886253356934e-06j),(-0.0018111169338226318-1.8537044525146484e-05j),(-0.0018022358417510986-6.012618541717529e-06j),(-0.0018095225095748901-7.994472980499268e-06j),(-0.001818530261516571-6.407499313354492e-07j),(-0.0018053650856018066+1.6614794731140137e-06j),(-0.001804344356060028+3.643333911895752e-06j),(-0.0018145740032196045-1.8924474716186523e-05j),(-0.0018057525157928467-3.203749656677246e-07j),(-0.0018079876899719238-2.428889274597168e-06j)
106,(-0.001793093979358673+1.1242926120758057e-05j),(-0.0018103495240211487+3.0025839805603027e-06j),(-0.0018011480569839478+6.83218240737915e-06j),(-0.0018018484115600586+1.080334186553955e-06j),(-0.0018130987882614136+2.2351741790771484e-06j),(-0.0017984658479690552+8.814036846160889e-06j),(-0.0018015950918197632+1.0207295417785645e-06j),(-0.0017930269241333008+6.198883056640625e-06j),(-0.0017967373132705688+1.8209218978881836e-05j),(-0.0017867013812065125+1.5653669834136963e-05j),(-0.0017938613891601562+4.850327968597412e-06j),(-0.0017878562211990356+1.936405897140503e-05j),(-0.0018025562167167664+1.265108585357666e-05j),(-0.001811690628528595-1.5348196029663086e-06j),(-0.0018017888069152832-3.1962990760803223e-06j),(-0.001800447702407837+7.666647434234619e-06j),(-0.0017951354384422302+4.723668098449707e-06j),(-0.001802295446395874+1.7210841178894043e-06j),(-0.001801915466785431-1.0281801223754883e-06j),(-0.0017833784222602844+9.968876838684082e-06j),(-0.0018054917454719543+1.6041100025177002e-05j)
107,(-0.001803956925868988+4.470348358154297e-07j),(-0.0018053650856018066+9.328126907348633e-06j),(-0.001797504723072052+4.217028617858887e-06j),(-0.0017979517579078674+1.2971460819244385e-05j),(-0.0018077269196510315+3.7997961044311523e-07j),(-0.0018023625016212463+7.987022399902344e-06j),(-0.0018161013722419739-1.2017786502838135e-05j),(-0.001802489161491394+2.428889274597168e-06j),(-0.0018047913908958435+8.180737495422363e-06j),(-0.001790858805179596+1.150369644165039e-05j),(-0.0017939209938049316+1.1377036571502686e-05j),(-0.001795843243598938+1.6294419765472412e-05j),(-0.0017946884036064148+1.150369644165039e-05j),(-0.001800253987312317+1.7702579498291016e-05j),(-0.0018015950918197632+9.968876838684082e-06j),(-0.001800253987312317+1.3932585716247559e-05j),(-0.0018003806471824646+9.328126907348633e-06j),(-0.001789964735507965+1.3865530490875244e-05j),(-0.0017957165837287903+8.814036846160889e-06j),(-0.0018010810017585754+3.5762786865234375e-06j),(-0.00180913507938385-9.976327419281006e-06j)
108,(-0.001813352108001709+3.1962990760803223e-06j),(-0.0018063262104988098+3.255903720855713e-06j),(-0.001803770661354065+1.080334186553955e-06j),(-0.0017921999096870422+1.0348856449127197e-05j),(-0.001802109181880951+1.3031065464019775e-05j),(-0.0017999336123466492-1.5348196029663086e-06j),(-0.0018032565712928772+1.5400350093841553e-05j),(-0.0017979517579078674+2.168118953704834e-06j),(-0.0017913058400154114+1.7702579498291016e-05j),(-0.001793794333934784+9.648501873016357e-06j),(-0.001793093979358673+1.4185905456542969e-05j),(-0.0017937347292900085+2.32011079788208e-05j),(-0.00179213285446167+1.5147030353546143e-05j),(-0.0018132254481315613+1.6614794731140137e-06j),(-0.00179252028465271+5.170702934265137e-06j),(-0.0017994195222854614+1.5974044799804688e-05j),(-0.0018115043640136719+2.8759241104125977e-06j),(-0.0018079206347465515+3.956258296966553e-06j),(-0.0017964169383049011+1.195073127746582e-05j),(-0.0017994865775108337+1.1369585990905762e-05j),(-0.0018144398927688599-8.501112461090088e-06j)
109,(-0.0018017217516899109+6.385147571563721e-06j),(-0.0018077343702316284+7.286667823791504e-06j),(-0.00182294100522995-4.090368747711182e-06j),(-0.0018142536282539368-8.314847946166992e-06j),(-0.0018011480569839478+2.555549144744873e-06j),(-0.0018148273229599+1.914799213409424e-06j),(-0.0018169954419136047-1.0102987289428711e-05j),(-0.0018127784132957458-4.604458808898926e-06j),(-0.0018105432391166687+7.152557373046875e-06j),(-0.0017988458275794983+3.7029385566711426e-06j),(-0.0018052980303764343+1.5012919902801514e-05j),(-0.0017979517579078674+1.2971460819244385e-05j),(-0.0017946287989616394+1.2330710887908936e-05j),(-0.0018010213971138+1.3932585716247559e-05j),(-0.001797117292881012+1.961737871170044e-05j),(-0.0017960965633392334+1.7449259757995605e-05j),(-0.0017920061945915222+2.32011079788208e-05j),(-0.0017971843481063843+1.6614794731140137e-06j),(-0.0017984658479690552+5.751848220825195e-06j),(-0.0017994865775108337+1.3612210750579834e-05j),(-0.0018120110034942627-2.816319465637207e-06j)
