,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109
150,(-0.0018767118453979492+2.5212764739990234e-05j),(-0.0018888115882873535+2.012401819229126e-05j),(-0.0018900185823440552+1.4521181583404541e-05j),(-0.0018865838646888733+2.3305416107177734e-05j),(-0.001873210072517395+2.8021633625030518e-05j),(-0.0018718689680099487+2.183765172958374e-05j),(-0.0018906593322753906+7.256865501403809e-06j),(-0.0018750578165054321+3.0122697353363037e-05j),(-0.0018653124570846558+2.9422342777252197e-05j),(-0.0018842294812202454+1.7762184143066406e-05j),(-0.001888558268547058+2.1710991859436035e-05j),(-0.0018889382481575012+2.2858381271362305e-05j),(-0.0018844828009605408+2.1710991859436035e-05j),(-0.0018804669380187988+2.8528273105621338e-05j),(-0.001886516809463501+5.088746547698975e-06j),(-0.0018919333815574646+2.8975307941436768e-05j),(-0.0018835291266441345+2.1904706954956055e-05j),(-0.0018983632326126099-5.4836273193359375e-06j),(-0.0018837153911590576+7.636845111846924e-06j),(-0.0018906593322753906+1.2986361980438232e-05j),(-0.0018968358635902405+5.7891011238098145e-06j),(-0.0018751174211502075+2.413243055343628e-05j),(-0.0018860772252082825+2.0697712898254395e-05j),(-0.001890726387500763+5.155801773071289e-06j),(-0.0018942281603813171+1.2032687664031982e-05j),(-0.0018991902470588684+8.866190910339355e-07j),(-0.0018899589776992798+5.476176738739014e-06j),(-0.00189218670129776+8.024275302886963e-06j),(-0.0019030794501304626+1.642853021621704e-05j),(-0.0018807873129844666+2.1398067474365234e-05j),(-0.0018851161003112793+1.5854835510253906e-05j)
151,(-0.0018840357661247253+1.3880431652069092e-05j),(-0.0018962621688842773+1.2226402759552002e-05j),(-0.0018865838646888733+1.712888479232788e-05j),(-0.0018848627805709839+1.897662878036499e-05j),(-0.001889638602733612+1.942366361618042e-05j),(-0.001889832317829132+9.931623935699463e-06j),(-0.0018805339932441711+2.6047229766845703e-05j),(-0.0018915534019470215+1.2099742889404297e-05j),(-0.00188378244638443+2.43261456489563e-05j),(-0.0018942877650260925+8.024275302886963e-06j),(-0.0018796399235725403+1.9356608390808105e-05j),(-0.0018862038850784302+8.024275302886963e-06j),(-0.0018863305449485779+2.1204352378845215e-05j),(-0.001891300082206726+1.1332333087921143e-05j),(-0.0018928870558738708+1.5787780284881592e-05j),(-0.0018874108791351318+2.1010637283325195e-05j),(-0.0018823817372322083+1.4521181583404541e-05j),(-0.0018943548202514648+1.2800097465515137e-05j),(-0.0018926337361335754+1.2412667274475098e-05j),(-0.0018786266446113586+2.9161572456359863e-05j),(-0.0018803402781486511+2.7574598789215088e-05j),(-0.0018818080425262451+2.11372971534729e-05j),(-0.0018904060125350952+1.872330904006958e-05j),(-0.0018941611051559448+1.76355242729187e-05j),(-0.0018932744860649109+1.3947486877441406e-05j),(-0.0018902122974395752+1.1458992958068848e-05j),(-0.00188358873128891+1.788884401321411e-05j),(-0.00188358873128891+1.6361474990844727e-05j),(-0.0018908530473709106+1.8462538719177246e-05j),(-0.0018944814801216125+1.2099742889404297e-05j),(-0.0018800869584083557+2.598017454147339e-05j)
152,(-0.0018846765160560608+1.833587884902954e-05j),(-0.0018966495990753174+1.9073486328125e-06j),(-0.0018848627805709839+1.4901161193847656e-05j),(-0.0018968358635902405+1.1205673217773438e-05j),(-0.001891806721687317+1.1332333087921143e-05j),(-0.0018933340907096863+1.3180077075958252e-05j),(-0.0018921270966529846+1.3947486877441406e-05j),(-0.001895815134048462+1.862645149230957e-07j),(-0.0018982365727424622+6.936490535736084e-06j),(-0.0019098296761512756-5.736947059631348e-06j),(-0.0018946081399917603+4.8354268074035645e-06j),(-0.0018901526927947998+1.4074146747589111e-05j),(-0.0018891319632530212+1.4007091522216797e-06j),(-0.0018971562385559082+9.998679161071777e-06j),(-0.0018831416964530945+1.2032687664031982e-05j),(-0.0018863305449485779+1.1272728443145752e-05j),(-0.001895114779472351+1.5154480934143066e-05j),(-0.0018837153911590576+2.362579107284546e-05j),(-0.001900210976600647+3.8817524909973145e-06j),(-0.0018792003393173218+7.323920726776123e-06j),(-0.0018832087516784668+1.993030309677124e-05j),(-0.0018846094608306885+1.3627111911773682e-05j),(-0.0018927603960037231+1.5221536159515381e-05j),(-0.001897476613521576+7.197260856628418e-06j),(-0.0018829554319381714+1.3947486877441406e-05j),(-0.0018799006938934326+1.2353062629699707e-05j),(-0.0018750578165054321+2.057105302810669e-05j),(-0.0018902793526649475+2.037733793258667e-05j),(-0.0018804743885993958+8.024275302886963e-06j),(-0.0018958821892738342+8.784234523773193e-06j),(-0.001894734799861908+8.784234523773193e-06j)
153,(-0.0018683075904846191+3.7066638469696045e-05j),(-0.0018869638442993164+1.7449259757995605e-05j),(-0.0018926337361335754+1.2986361980438232e-05j),(-0.0018923133611679077+1.4647841453552246e-05j),(-0.0018863305449485779+1.942366361618042e-05j),(-0.0018929541110992432+1.7449259757995605e-05j),(-0.0018924400210380554+4.9620866775512695e-06j),(-0.001894734799861908+1.9297003746032715e-05j),(-0.0018931403756141663+4.0084123611450195e-06j),(-0.0018880516290664673+2.9101967811584473e-05j),(-0.0018935278058052063+1.2159347534179688e-05j),(-0.001884549856185913+2.012401819229126e-05j),(-0.0018959492444992065+1.2926757335662842e-05j),(-0.0018935278058052063+6.429851055145264e-06j),(-0.0018778592348098755+1.8909573554992676e-05j),(-0.0018794536590576172+9.804964065551758e-06j),(-0.001893654465675354+1.92299485206604e-05j),(-0.0018751844763755798+2.4512410163879395e-05j),(-0.0018796399235725403+2.788752317428589e-05j),(-0.0018797069787979126+3.4071505069732666e-05j),(-0.0018781796097755432+2.4706125259399414e-05j),(-0.0018784329295158386+2.387911081314087e-05j),(-0.0018670335412025452+2.9101967811584473e-05j),(-0.0018725097179412842+2.3752450942993164e-05j),(-0.0018811747431755066+3.0435621738433838e-05j),(-0.0018901526927947998+2.292543649673462e-05j),(-0.00187760591506958+3.540515899658203e-05j),(-0.0018756911158561707+3.170967102050781e-05j),(-0.001887790858745575+1.662224531173706e-05j),(-0.0018844828009605408+1.6361474990844727e-05j),(-0.0018743574619293213+1.897662878036499e-05j)
154,(-0.0018814876675605774+2.0757317543029785e-05j),(-0.00188358873128891+2.2798776626586914e-05j),(-0.0018890053033828735+2.738088369369507e-05j),(-0.001883082091808319+2.2098422050476074e-05j),(-0.0018780529499053955+1.662224531173706e-05j),(-0.0018928870558738708+1.2859702110290527e-05j),(-0.0018813014030456543+1.9863247871398926e-05j),(-0.001882314682006836+2.7894973754882812e-05j),(-0.0018735900521278381+2.018362283706665e-05j),(-0.0018754377961158752+2.8148293495178223e-05j),(-0.0018755048513412476+3.4071505069732666e-05j),(-0.0018775388598442078+2.4959444999694824e-05j),(-0.0018825680017471313+1.4007091522216797e-05j),(-0.001890726387500763+1.553446054458618e-05j),(-0.0018718093633651733+3.082305192947388e-05j),(-0.001890912652015686+1.1146068572998047e-05j),(-0.0018928870558738708+1.3247132301330566e-05j),(-0.001888178288936615+1.8209218978881836e-05j),(-0.0018937811255455017+7.256865501403809e-06j),(-0.0018727630376815796+1.5221536159515381e-05j),(-0.0018764585256576538+1.5087425708770752e-05j),(-0.0018713027238845825+3.254413604736328e-05j),(-0.001884356141090393+2.8595328330993652e-05j),(-0.0018681809306144714+3.113597631454468e-05j),(-0.0018849894404411316+2.368539571762085e-05j),(-0.0018756315112113953+2.158433198928833e-05j),(-0.0018746107816696167+2.6747584342956543e-05j),(-0.0018760114908218384+2.6360154151916504e-05j),(-0.0018950551748275757+1.4200806617736816e-05j),(-0.001891300082206726-3.8743019104003906e-07j),(-0.0018814876675605774+1.3686716556549072e-05j)
155,(-0.0018809810280799866+2.8401613235473633e-05j),(-0.0018848031759262085+2.7701258659362793e-05j),(-0.0018800273537635803+1.942366361618042e-05j),(-0.00188358873128891+1.1585652828216553e-05j),(-0.0018776655197143555+2.088397741317749e-05j),(-0.0018883049488067627+1.4834105968475342e-05j),(-0.0018716827034950256+3.152340650558472e-05j),(-0.0018636584281921387+2.7127563953399658e-05j),(-0.0018613636493682861+3.46451997756958e-05j),(-0.0018714889883995056+3.4771859645843506e-05j),(-0.0018777921795845032+1.8209218978881836e-05j),(-0.0018904656171798706+1.878291368484497e-05j),(-0.0018895119428634644+1.1458992958068848e-05j),(-0.0018886849284172058+2.2605061531066895e-05j),(-0.001883082091808319+2.43261456489563e-05j),(-0.0018883049488067627+2.62334942817688e-05j),(-0.0018809810280799866+1.4521181583404541e-05j),(-0.0018725693225860596+2.6553869247436523e-05j),(-0.0018800869584083557+2.477318048477173e-05j),(-0.0018930807709693909+3.4347176551818848e-06j),(-0.0018804669380187988+2.8207898139953613e-05j),(-0.0018851161003112793+1.2733042240142822e-05j),(-0.0018900185823440552+1.0699033737182617e-05j),(-0.0018872842192649841+1.3560056686401367e-05j),(-0.0018895789980888367+1.5027821063995361e-05j),(-0.0018820017576217651+1.3120472431182861e-05j),(-0.0018804669380187988+1.0952353477478027e-05j),(-0.0018886849284172058+9.998679161071777e-06j),(-0.0018979832530021667+8.210539817810059e-06j),(-0.0018930137157440186-5.140900611877441e-07j),(-0.0018928274512290955+5.729496479034424e-06j)
156,(-0.001881234347820282+1.712888479232788e-05j),(-0.0018946677446365356+1.4774501323699951e-05j),(-0.001889452338218689+1.2926757335662842e-05j),(-0.0018995106220245361+1.1585652828216553e-05j),(-0.0018845424056053162+1.8462538719177246e-05j),(-0.0019009783864021301+9.872019290924072e-06j),(-0.0018956884741783142+1.3753771781921387e-05j),(-0.001884162425994873+2.1845102310180664e-05j),(-0.0018863305449485779+8.657574653625488e-06j),(-0.0018827617168426514+2.063065767288208e-05j),(-0.001892000436782837+1.4133751392364502e-05j),(-0.0018972232937812805+7.830560207366943e-06j),(-0.001876331865787506+2.7760863304138184e-05j),(-0.0018819347023963928+1.6301870346069336e-05j),(-0.0018887519836425781+7.383525371551514e-06j),(-0.0018974095582962036+1.0952353477478027e-05j),(-0.0018905997276306152+1.1846423149108887e-05j),(-0.0018811076879501343+2.2158026695251465e-05j),(-0.0018767118453979492+3.075599670410156e-05j),(-0.0018767789006233215+2.133101224899292e-05j),(-0.001869194209575653+3.6366283893585205e-05j),(-0.00187760591506958+2.0503997802734375e-05j),(-0.0018887519836425781+1.903623342514038e-05j),(-0.0018920600414276123+1.0058283805847168e-05j),(-0.0018918663263320923+1.617521047592163e-05j),(-0.001876331865787506+2.6747584342956543e-05j),(-0.0018821880221366882+1.693516969680786e-05j),(-0.0018834024667739868+1.9863247871398926e-05j),(-0.001881428062915802+2.088397741317749e-05j),(-0.001885436475276947+8.851289749145508e-06j),(-0.001880154013633728+2.833455801010132e-05j)
157,(-0.001894541084766388+1.598149538040161e-05j),(-0.0018914863467216492-2.9355287551879883e-06j),(-0.0018807277083396912+1.2606382369995117e-05j),(-0.0019137188792228699+4.0084123611450195e-06j),(-0.001902952790260315+3.7550926208496094e-06j),(-0.0019081085920333862+5.088746547698975e-06j),(-0.0018848627805709839+1.1138617992401123e-05j),(-0.0018912926316261292+1.4074146747589111e-05j),(-0.001900210976600647-2.868473529815674e-06j),(-0.001886710524559021+1.8209218978881836e-05j),(-0.0019057542085647583-5.163252353668213e-06j),(-0.0018958821892738342+6.936490535736084e-06j),(-0.001882508397102356+1.592189073562622e-05j),(-0.0019000247120857239+3.0547380447387695e-06j),(-0.0018986836075782776+5.7891011238098145e-06j),(-0.0019012987613677979+6.683170795440674e-06j),(-0.0019026324152946472+5.2228569984436035e-06j),(-0.0018911659717559814+1.1712312698364258e-05j),(-0.0018792003393173218+2.1398067474365234e-05j),(-0.0018949881196022034+3.0547380447387695e-06j),(-0.0018834024667739868+1.7449259757995605e-05j),(-0.0018820017576217651+2.8274953365325928e-05j),(-0.0018845424056053162+1.1585652828216553e-05j),(-0.0018863305449485779+1.8596649169921875e-05j),(-0.0018817409873008728+2.222508192062378e-05j),(-0.001884356141090393+1.833587884902954e-05j),(-0.0018834024667739868+2.5220215320587158e-05j),(-0.0018794536590576172+2.298504114151001e-05j),(-0.0018762052059173584+2.6747584342956543e-05j),(-0.0018663331866264343+3.273040056228638e-05j),(-0.0018626973032951355+3.222376108169556e-05j)
158,(-0.0018973499536514282+7.830560207366943e-06j),(-0.001893460750579834+1.5087425708770752e-05j),(-0.0018884316086769104+1.942366361618042e-05j),(-0.0018842890858650208+1.1399388313293457e-05j),(-0.0019062608480453491-8.031725883483887e-06j),(-0.001901678740978241+1.2032687664031982e-05j),(-0.0019087493419647217-1.3634562492370605e-05j),(-0.0018837153911590576+1.4454126358032227e-05j),(-0.0018862038850784302+1.1205673217773438e-05j),(-0.001897856593132019+7.0035457611083984e-06j),(-0.0018925070762634277+1.547485589981079e-05j),(-0.001885436475276947+1.5273690223693848e-06j),(-0.0018886849284172058+9.231269359588623e-06j),(-0.0018960759043693542+8.977949619293213e-06j),(-0.001882314682006836+1.1906027793884277e-05j),(-0.0018875375390052795+2.8014183044433594e-06j),(-0.0018914267420768738+5.982816219329834e-06j),(-0.001885630190372467+2.043694257736206e-05j),(-0.0018875375390052795+1.4387071132659912e-05j),(-0.0018858164548873901+1.1652708053588867e-05j),(-0.0018930137157440186+1.0058283805847168e-05j),(-0.0019028261303901672+9.804964065551758e-06j),(-0.0018916130065917969+9.998679161071777e-06j),(-0.00187741219997406+1.598149538040161e-05j),(-0.0018937140703201294+1.3560056686401367e-05j),(-0.001878306269645691+2.6300549507141113e-05j),(-0.0018880516290664673+3.11434268951416e-06j),(-0.0018941015005111694+5.662441253662109e-06j),(-0.0018929541110992432+9.104609489440918e-06j),(-0.0018851161003112793+4.902482032775879e-06j),(-0.00189199298620224+6.303191184997559e-06j)
159,(-0.0018893852829933167+2.62334942817688e-05j),(-0.0018865838646888733+5.602836608886719e-06j),(-0.0018906593322753906+1.73225998878479e-05j),(-0.0018711090087890625+2.8595328330993652e-05j),(-0.001890338957309723-5.140900611877441e-07j),(-0.0018853768706321716+2.7254223823547363e-05j),(-0.0018816813826560974+1.0885298252105713e-05j),(-0.0018953755497932434+8.150935173034668e-06j),(-0.001888178288936615+1.0758638381958008e-05j),(-0.001885630190372467+1.3500452041625977e-05j),(-0.0018968358635902405+5.349516868591309e-06j),(-0.0018765851855278015+1.4074146747589111e-05j),(-0.0018794536590576172+1.3560056686401367e-05j),(-0.0018939077854156494+1.987069845199585e-05j),(-0.001900210976600647+1.1712312698364258e-05j),(-0.0018874779343605042+1.7195940017700195e-05j),(-0.0018868371844291687+1.2673437595367432e-05j),(-0.0018783658742904663+1.4521181583404541e-05j),(-0.0018866434693336487+1.2412667274475098e-05j),(-0.001881234347820282+1.7255544662475586e-05j),(-0.001878499984741211+2.1398067474365234e-05j),(-0.0018902793526649475+1.3686716556549072e-05j),(-0.0018806606531143188+2.6747584342956543e-05j),(-0.0018873438239097595+1.3113021850585938e-05j),(-0.0018785595893859863+2.693384885787964e-05j),(-0.0018853768706321716+7.450580596923828e-06j),(-0.001883082091808319+2.2098422050476074e-05j),(-0.0018838420510292053+1.3627111911773682e-05j),(-0.0018939673900604248-2.5480985641479492e-06j),(-0.001885630190372467+2.2798776626586914e-05j),(-0.001899324357509613+6.236135959625244e-06j)
